projectID,Llama'd?,Ticker,Name,Website,Primary Chain,Chain,Contracts,Category,Asset Class,Type,Issuer,Issuer Source Link,Issuer Registry Info,Redeemable,Attestations,CEX Listed,KYC,Transferable,Self Custody,Token Status/Potential Airdrop?,Notes,Claimed TVL,On-chain TVL,Active TVL,DeFi Active TVL,Derivatives,RWA Classification,Access Model,Coingecko ID,Coinmarketcap ID,Pool ID,Twitter,Holders to be Removed from Active TVL,ISIN
x,✓,KAIO,KAIO,https://kaio.xyz,hedera,hedera; sei,x,"Governance & Protocol Tokens;Tokenized Funds (T-Bills, Bonds, MMFs);RWA Lending / Private Credit",Governance / voting token (RWA protocol),Platform,KAIO,https://kaio.xyz,,x,x,✓,x,✓,✓,x,"Platform entry for KAIO, a regulated RWA tokenization infrastructure that brings institutional-grade funds (e.g., money-market funds and macro/alternative strategies managed by partners such as Laser Digital and BlackRock) on-chain via the Hedera network. KAIO issues tokenized fund interests as Hedera-native tokens for qualified investors, with underlying exposures in off-chain regulated funds and strategies. Public sources describe the integration with Hedera and the supported fund types but do not yet provide a clear, canonical list of Hedera token IDs or program contracts, so no `Contracts` are listed here. When official KAIO token IDs (per-fund HTS tokens) are documented in primary sources, they should be added as separate asset rows with their own identifiers. | KAIO here refers to the KAIO protocol token used for governance and incentives around KAIO’s institutional tokenization and fund infrastructure; tokenized fund shares (such as specific treasury or credit products) should be modelled as separate asset rows. | KAIO is treated as a governance/utility token of the KAIO tokenization infrastructure; investor KYC applies at the product level, not at the ERC-20 token level.",x,x,x,x,x,Programmable Finance,Permissionless,,,,https://x.com/KAIO_xyz,,
x,✓,KEA,Kea Credit,https://kea.credit,hedera,hedera,x,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,KEA LAMP (IRL) LIMITED,https://kea.credit,KEA LAMP (IRL) LIMITED – Irish private limited company (Ltd) incorporated 23 Feb 2001; registration number IE339411; classified under NACE 61900 'Other telecommunications activities'.,x,x,x,x,x,x,x,"Invoicing/trade-finance RWA platform built on Hedera. Kea Credit lets businesses tokenize invoices as on-chain NFTs and obtain funding through permissioned lending pools; investors and underwriters earn yield from invoice repayments while providing structured credit protection. Ecosystem materials describe Kea as an RWA invoice tokenization protocol and explain how TVL is computed across active, funded, and grace-period pools, but they do not expose a single canonical KEA fungible token or program contract. Each pool and invoice series is implemented as separate Hedera tokens/contracts. Accordingly, this row tracks the platform and leaves `Contracts` blank; if Kea later introduces a fungible governance or investment token with clear on-chain identifiers, that asset should be added as its own row. | Kea Credit tokenizes invoices and private‑credit exposures as on‑chain assets; KEA is the protocol token used for incentives and governance and is not itself a redeemable RWA tranche. | Kea Credit is captured at the platform level; reserve attestations, if any, would apply to individual invoice or credit-tranche tokens rather than this aggregate entry.",x,x,x,x,x,Non-RWA (Platform),,,,,https://x.com/keacredit,,
x,✓,LNDX,LandX Finance,https://landx.fi,ethereum,ethereum; arbitrum,ethereum:0x08a1c30bbb26425c1031ee9e43fa0b9960742539; arbitrum:0xe10d4a4255d2d35c9e23e2c4790e073046fbaf5c,Governance & Protocol Tokens;Tokenized Real Estate,Governance / voting token (RWA protocol),Platform,"LandX Labs, UAB",https://rekvizitai.vz.lt/en/company/landx_labs/,"LandX Labs, UAB – Lithuanian private limited liability company (Uždaroji akcinė bendrovė); company code 306006753; registered address Perkūnkiemio g. 13-91, LT-12114 Vilnius, Lithuania; company later struck off per Lithuanian commercial register data.",x,x,✓,✓,✓,✓,x,"LNDX is the Ethereum‑based governance and fee‑share token of the LandX protocol, which tokenizes farmland yields via crop‑stream tokens (e.g., xWHEAT, xCORN); LNDX is not itself a 1:1 claim on specific farmland or crop streams.",x,x,x,x,x,Programmable Finance,Permissionless,landx-governance-token,,,https://x.com/landxfinance,,
x,✓,LIQI,Liqi,https://www.liqi.com.br,xdc,xdc,x,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,Liqi Digital Assets S.A.,https://www.liqi.com.br/documents/terms-of-use/document.pdf,"LIQI DIGITAL ASSETS S/A – Brazilian closed joint-stock company (Sociedade Anônima Fechada); CNPJ 41.743.644/0001-57; registered office Av. Brigadeiro Faria Lima, 1.461, 4º Andar, Conjunto 41, Jardim Paulistano, São Paulo – SP, 01452-921, Brazil.",✓,✓,✓,x,x,x,x,"Platform entry for Liqi Digital Assets, a Brazil-based tokenization provider that issues RWAs (receivable-backed contracts, private credit, structured notes, and other financial products) on the XDC Network and related infrastructure. Public materials highlight Liqi’s role in tokenizing financial contracts (for example, auto-lease receivables such as the “Nigri-Porsche” contract) and in powering XDC-based RWA platforms, rather than emphasizing a single platform token. Individual Liqi-originated RWAs are typically implemented as XRC-20 or XRC-721 tokens per deal or SPV. Because there is no single canonical Liqi platform token contract, `Contracts` is intentionally left blank here; underlying Liqi RWA tokens should be captured as separate rows once their contract addresses are validated from official deal documentation and XDC explorers. | Liqi is a Brazilian CVM‑sandboxed tokenization platform that issues regulated credit‑rights and other RWA tokens for local issuers (e.g., receivables and structured credit backed by USDC flows); this row represents the Liqi RWA platform rather than any single fungible token, and many instruments trade within a regulated, permissioned environment.",x,x,x,x,x,Programmable Finance,,,,,https://x.com/liqibr,,
x,✓,MNSRY,Mansory,https://mansory.io,solana,solana; bsc,solana:1xdtu7y3LkkrVCAbm5KGKfYzq1qgKhxxk5AaJBqpump; solana:6E3Xpkmz2CmZvXNMxEAcssisUd9PN8EJJvKyo38rpump; bsc:0x0fcfe33b46e5b21e5e96b722d4c85510198f9255,Governance & Protocol Tokens;Other / Exotic RWAs,Governance / voting token (RWA protocol),Platform,MANSORY AUTO TRADING Ltd,https://mansory.io,Company name MANSORY AUTO TRADING Ltd appears in the ESMA MiCA crypto-asset whitepaper register with country code VG (British Virgin Islands); no public company or registration number is given in that entry.,x,x,✓,x,x,x,x,"MNSRY is the official Mansory token associated with the Mansory luxury car customization brand; it is a utility / community token on public chains and does not provide a direct, redeemable claim on specific vehicles or Mansory revenues.",x,x,x,x,x,Programmable Finance,Permissioned,,,b167895a-90bb-47ec-82af-8a5322bfbc24,https://x.com/MANSORYofficial,,
x,✓,SYRUP,Maple Finance (SYRUP pools),https://www.maple.finance,ethereum,ethereum; base,ethereum:0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66; base:0x688aee022aa544f150678b8e5720b6b96a9e9a2f,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,MAPLE LABS PTY LTD,https://abr.business.gov.au/ABN/View?abn=34635342880,MAPLE LABS PTY LTD – Australian private company; ABN 34 635 342 880; active entity since 9 Aug 2019 per Australian Business Register.,x,x,x,x,✓,✓,x,SYRUP is the Maple Finance governance and fee‑share token used to backstop credit risk and accrue protocol revenues from Maple and Syrup lending activities; it is not itself a tokenized note or redeemable claim on particular RWA loan pools.,x,x,x,x,x,Programmable Finance,Permissionless,syrup,,03dabd4a-6d0e-4a6b-a9ea-10e348ef8a0f;7f1c4126-3998-4334-9ce3-c640e869d682;7113cbce-92d1-469c-9fe4-9dbfa9f1618e;987c68a4-0b31-41d4-8884-03503862ee42;9c71b73c-3158-41f2-8465-2550aa44b4c1,https://x.com/maplefinance,,
x,✓,MIDAS,Midas RWA,https://midas.app,ethereum,ethereum; xrplevm; base; bsc; etlk; plume; rsk; katana; sapphire; plasma; 0g,x,"Governance & Protocol Tokens;Tokenized Funds (T-Bills, Bonds, MMFs);RWA Yield / Wrapper",Governance / voting token (RWA protocol),Platform,Midas Software GmbH,https://www.leinummer.de/LEI/984500BB00BN6D2B7C48,"German private limited company (Gesellschaft mit beschränkter Haftung, GmbH) registered with Amtsgericht Berlin-Charlottenburg under HRB 254645; registered office Pappelallee 78/79, 10437 Berlin; LEI 984500BB00BN6D2B7C48.",x,x,x,x,x,x,x,"Platform entry for Midas (midas.app), issuer of Liquid Yield Tokens (LYTs) such as mTBILL, mF-ONE, mMEV, mHYPER, mFARM, msyrupUSD and related products. Each LYT is a separate ERC-20-style token that tracks a specific underlying strategy (for example, U.S. T-bills via short-duration Treasury funds, private-credit strategies like Fasanara F-ONE, or institutional DeFi yield) with dedicated issuance and redemption vault contracts per asset. Official smart-contract addresses for each LYT and its vaults are maintained in the Midas documentation under “Smart Contracts Addresses” and in the Issuance & Redemption docs; those addresses should be recorded on the individual asset rows (e.g., mTBILL, mF-ONE) rather than here. There is no single canonical MIDAS token or contract representing the entire platform, so the `Contracts` field for this platform row is intentionally left blank. | Midas tokenization docs and Arbitrum STEP application identify Midas Software GmbH as the issuer of the mTBILL and related RWA products. | This row captures the Midas RWA platform (midas.app), which issues tokenized products such as mTBILL; the flags in this row should not be interpreted as describing any one security token, which are modelled separately (e.g., an mTBILL asset row).",x,x,x,x,x,Programmable Finance,,midas-mf-one,,723fb660-9fd4-43b2-8ad0-0058ad0435d0,https://x.com/midasrwa,,
x,✓,NAOS,NAOS Finance,https://naos.finance,ethereum,ethereum; bsc,ethereum:0x4a615bb7166210cce20e6642a6f8fb5d4d044496; bsc:0x758d08864fb6cce3062667225ca10b8f00496cc2,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,NAOS Finance,https://naos.finance,,x,x,✓,x,✓,✓,x,"NAOS is the governance and incentive token for NAOS Finance, a protocol that originates and securitizes private‑credit loans as RWAs; NAOS does not directly represent a redeemable claim on specific loan portfolios.",x,x,x,x,x,Programmable Finance,Permissionless,naos-finance,,,https://x.com/naos_finance,,
x,✓,NESTC,Nest Credit,https://nest.credit,plume,plume; ethereum; plasma; bsc,x,"RWA Yield / Wrapper;Tokenized Funds (T-Bills, Bonds, MMFs)",RWA index / basket vault,Platform,"Plume Network, Inc.",https://nest.credit,,✓,x,x,x,✓,✓,x,Platform row for Nest (RWA vault protocol on Plume). Individual vault receipt tokens such as Nest Credit Vault (NCREDIT) are modeled as separate Asset rows with their own contracts.,x,x,x,x,x,Real RWA,Permissionless,,,,https://x.com/nestcredit,,
x,x,NCREDIT,Nest Credit Vault (nCREDIT),https://nest.credit,plume,plume; ethereum,plume:0xA5f78B2A0aB85429d2dFbf8b60AbC70F4CeC066c; ethereum:0xa5f78b2a0ab85429d2dfbf8b60abc70f4cec066c,RWA Lending / Private Credit;RWA Yield / Wrapper,Private credit pool;RWA index / basket vault,Asset,"Plume Network, Inc.",https://nest.credit,,✓,x,x,x,✓,✓,x,"Vault receipt token for Nest Credit Vault (nCREDIT), a private-credit focused Nest vault on Plume with the same BoringVault ERC-20 contract deployed on Ethereum. Address from Nest docs smart-contracts page.",x,x,x,x,x,Real RWA,Permissionless,nest-credit-vault,,2d9c3f35-3e23-4f24-a95e-71fbd6198efb,https://x.com/nestcredit,,
x,✓,OGY,ORIGYN,https://origyn.com,icp,icp,icp:lkwrt-vyaaa-aaaaq-aadhq-cai,Governance & Protocol Tokens;Other / Exotic RWAs,Governance / voting token (RWA protocol),Platform,ORIGYN Foundation,https://www.moneyhouse.ch/en/company/origyn-foundation-12182847461,ORIGYN Foundation – Swiss foundation (Stiftung) domiciled in Neuchâtel; UID / registration number CHE-380.618.639; founded 5 Oct 2020 per Swiss commercial register.,x,x,✓,x,✓,✓,x,"OGY is the utility and governance token of the ORIGYN Foundation, which issues NFT‑based digital certificates for luxury goods and other RWAs; OGY is used for fees, staking and governance and does not itself confer a direct, redeemable claim on the authenticated assets.",x,x,x,x,x,Non-RWA (Gov/Utility),Permissionless,origyn-foundation,,cb5e63fe-221b-4735-91e8-c5251693e511;4c788b73-89d9-4c17-9273-64572d8ad065,https://x.com/origyntech,,
x,✓,ONRE,OnRe,https://onre.finance,solana,solana,solana:onreuGhHHgVzMWSkj2oQDLDtvvGvoepBPkqyaubFcwe,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,On Re SAC Ltd.,https://www.onre.finance/legal/platform-terms-of-use,On Re SAC Ltd. – exempted limited company registered in Bermuda as a Segregated Accounts Company (SAC) under the Segregated Accounts Companies Act 2000; company number 55347; licensed and regulated by the Bermuda Monetary Authority with a Class F licence under the Digital Asset Business Act 2018 and a Class IIGB insurance licence under the Insurance Act 1978.,x,x,x,x,x,x,x,"OnRe is a Solana-based RWA platform that tokenizes regulated reinsurance yield. Its main RWA asset is Onchain Yield Coin (ONyc), an SPL token representing fractional ownership in a regulated OnRe investment pool backed by reinsurance premiums and sUSDe collateral. The ONyc SPL mint is 5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5, and the Solana program listed in Contracts handles permissionless minting and redemption flows. Additional authorities (mint authority, upgrade authority, etc.) are documented in OnRe’s technical/token-configuration docs and should be tracked at the vault/governance level as needed. | Issuer is On Re SAC Ltd., a Bermuda Segregated Accounts Company regulated by the Bermuda Monetary Authority (DABA Class F and IIGB).",x,x,x,x,x,Programmable Finance,,,,,https://x.com/onrefinance,,
x,✓,OPENTRADE,OpenTrade,https://opentrade.com,ethereum,ethereum,ethereum:0x5f3f18be537094a3fefa93827e807c20e69010de,"RWA Lending / Private Credit;Tokenized Funds (T-Bills, Bonds, MMFs)",RWA lending market / venue,Platform,Open Trade Technology Ltd,https://find-and-update.company-information.service.gov.uk/company/14583521,"UK private limited company registered with Companies House (company no. 14583521), incorporated in England & Wales with registered office 3rd Floor, 1 Ashley Road, Altrincham, WA14 2DT.",x,x,x,✓,x,x,x,"OpenTrade protocol documentation states that the blockchain protocol is developed and maintained by Open Trade Technology Ltd (the UK company registered under no. 14583521). | OpenTrade operates institutional stablecoin yield vaults backed by tokenized U.S. Treasury bills, money‑market funds and trade‑finance exposures using Circle’s Perimeter Protocol; this row represents the platform and its vault structure, not one specific security token such as the TBV treasury‑bill vault on RWA.xyz. | This entry is for the OpenTrade lending and tokenized-Treasury platform overall; specific vault tokens such as TBV are modeled separately as their own RWA assets.",x,x,x,x,x,Programmable Finance,Permissioned,,,,https://x.com/opentrade_io,,
x,✓,GOLD,Oro Finance,https://www.oro.finance/,solana,solana,solana:GoLDppdjB1vDTPSGxyMJFqdnj134yH6Prg9eqsGDiw6A,Tokenized Gold & Commodities,Allocated gold token,Platform,Oro Finance,https://www.oro.finance/,,✓,✓,x,✓,✓,✓,x,"Tokenized gold RWA issued by Oro (Oro Labs) on Solana. Each GOLD token represents one troy ounce of 99.99% investment-grade physical gold held in regulated third-party vaults (e.g., Brinks) under a bankruptcy-remote structure and is redeemable via the Oro platform. Backing is intended to be 1:1 with physical reserves, with monthly third-party proof-of-reserves and a partnership with Monetary Metals for gold-leasing/yield. stGOLD is a separate yield-bearing wrapper over GOLD and should be modelled as its own asset row if included in this master list.",x,x,x,x,x,Real RWA,Permissionless,,,6da6f63f-8ebb-49ab-9125-c5a429d49c98;1bc3e824-810f-4a05-bb65-bb43f515f16f;7ae60661-3dac-4900-9ae3-88d3d0b37dab,https://x.com/orogoldapp,,
x,✓,PROSPER,Prosper,https://prosper-fi.com,bsc,bsc; base; ethereum,bsc:0x915424Ac489433130d92B04096F3b96c82e92a9D; base:0x915424Ac489433130d92B04096F3b96c82e92a9D; bsc:0x915424Ac489433130d92B04096F3b96c82e92a9D,Governance & Protocol Tokens;Other / Exotic RWAs,Governance / voting token (RWA protocol),Platform,Prosper,https://prosper-fi.com,,x,x,✓,x,✓,✓,x,"Prosper (PROS) is an RWA protocol that tokenizes Bitcoin mining hashrate and treasury; PROS is the governance and staking token that entitles holders to share in BTC produced by DAO‑owned mining hardware, but it does not itself represent direct ownership of the mining rigs or a redeemable claim on specific physical assets.",x,x,x,x,x,Programmable Finance,Permissionless,prosper,,,https://x.com/prosperfi_BTC,,
x,✓,REMORA,Remora Markets,https://remora.markets,solana,solana,x,Tokenized Stocks & Equities,Equity index / basket token,Asset,Remora Markets,https://remora.markets,,x,x,x,✓,x,x,x,"Remora Markets (rebranded from Moose Capital) is a Solana‑based RWA marketplace for tokenized U.S. equities such as Nvidia and Tesla; all protocol revenue is routed into Step Finance’s STEP buyback program. This row covers the marketplace itself rather than any particular tokenized stock or a dedicated REMORA fungible token. | This row represents the Remora RWA brokerage platform rather than a live, fungible REMORA token, so token-level flags are kept off here.",x,x,x,x,x,Non-RWA (Platform),Permissioned,,,,,,
x,✓,SPICE,SPICE Protocol,https://spiceprotocol.xyz,plume,plume,x,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,SPICE DAO,https://spiceprotocol.xyz,,x,x,x,x,x,x,x,RWA private-credit protocol on Plume that provides a liquidity and data layer for global supply chains; this row tracks protocol-level private credit exposure rather than a single redeemable stablecoin.,x,x,x,x,x,Programmable Finance,Permissioned,spice-pusd-vault,,85ab88d2-bfd1-48e3-a17e-fcfd214ee07f;5fbf1117-2acc-4042-bdc9-17cbb9a03b95;07b14348-90fc-4828-a5e0-5547f0d291ad,https://x.com/SpiceProtocol,,
x,✓,SAIL,Sailing Protocol,https://sailing.finance,ethereum,ethereum,x,Tokenized Stocks & Equities,Equity index / basket token,Asset,Sailing Finance,https://sailing.finance,,✓,x,x,✓,✓,✓,x,"Tokenized equities platform that brings stocks on-chain; KYC’d users receive stock-linked tokens in self-custodied wallets that can be traded on-chain and, via off-chain brokerage rails, converted back to traditional securities exposure.",x,x,x,x,x,Real RWA,Permissionless,,,5dba395b-1629-4435-9768-e8f42f3113f5,,,
118,✓,SKY,Sky RWA,https://sky.money,ethereum,"ethereum, hydration?",ethereum:0x56072c95faa701256059aa122697b133aded9279; hydra:asset_registry%2F1000795,Governance & Protocol Tokens;Stablecoins backed by RWAs,Governance / voting token (RWA protocol),Platform,Sky Protocol,https://sky.money,,x,x,✓,x,✓,✓,x,"Governance / value-accrual token for Sky (Maker’s RWA-focused endgame), which is tied to a system of RWA-backed stablecoins but is not itself directly redeemable for US Treasuries or specific fund shares. | Any asset attestations relate to the underlying Sky RWA-backed products rather than the SKY governance/value-accrual token itself.",x,x,x,x,x,Non-RWA (Gov/Utility),Permissionless,sky,,592b3ae7-1a5c-4e80-90c4-99e25c160f7e;347e4a35-892c-4b55-b8ba-f1473409c91c;ed6e98fd-4b80-4a20-be23-ada51a647547;dd44a83e-12b1-406c-9dff-8f082dc793d4;4b51822a-05dc-4fa8-ae06-963ba010d7e1;0238a455-cd4d-448e-9529-0d0d0beee660;7fe1b874-94b1-4772-b1bd-fffc716699b7;2d087d1c-84d7-4e1b-9e40-9298094dba6f;ee77ea57-d806-4832-ae64-2ee1706fa086,https://x.com/SkyEcosystem,,
3573,✓,SOLV,Solv Protocol,https://solv.finance,ethereum,ethereum; bsc,ethereum:0x7a56e1c57c7475ccf742a1832b028f0456652f97; bsc:0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52; ,"Governance & Protocol Tokens;RWA Yield / Wrapper;Tokenized Funds (T-Bills, Bonds, MMFs)",Governance / voting token (RWA protocol),Platform,Solv Finance,https://solv.finance,,x,x,x,"KYC required for yield products (SolvBTC.ENA, SolvBTC.JUP); not required for basic SolvBTC on DEXs",x,x,x,"RWA and yield marketplace issuing on-chain voucher-style positions that wrap portfolios of funds, liquid staking and private-credit strategies, rather than a single stand-alone RWA token.",x,x,x,x,SolvBTC.ENA:arbitrum:0xaFAfd68AFe3fe65d376eEC9Eab1802616cFacCb8; SolvBTC.JUP:bsc:0x38a001e57430f781404ffF7a81DE4Bd67d1f6117; SolvBTC.JUP:solana:SoLvzL3ZVjofmNB5LYFrf94QtNhMUSea4DawFhnAau8; SolvBTC.JUP:bob:0x6b062AA7F5FC52b530Cb13967aE2E6bc0D8Dd3E4,Programmable Finance,Permissioned,solv-protocol,,,https://x.com/SolvProtocol/,,
x,✓,SPIKO,Spiko,https://spiko.io,ethereum,ethereum; polygon; arbitrum; starknet; solana; etherlink,x,"Tokenized Funds (T-Bills, Bonds, MMFs)",Money market fund,Platform,Spiko Finance SAS,https://entreprises.lefigaro.fr/spiko-finance-75/entreprise-980659585,"France – Spiko Finance (SPIKO FINANCE) registered as a société par actions simplifiée (SAS) with SIREN 980 659 585, SIRET 980 659 585 00015, RCS Paris, registered address 16 Rue des Immeubles Industriels, 75011 Paris; intracommunity VAT number FR01980659585.",✓,✓,x,✓,x,✓,x,"Off-chain RWA cash product that invests client balances exclusively into short-duration Eurozone and U.S. Treasury bills, offering business-day withdrawals from a custodial account rather than a freely transferable self-custodied token.",x,x,x,x,x,Programmable Finance,Permissioned,eutbl,,,https://x.com/Spiko_finance,,
2231,✓,TNGBL,Tangible,https://tangible.store,polygon,polygon,polygon:0x49e6A20f1BBdfEeC2a8222E052000BbB14EE6007,Governance & Protocol Tokens;Tokenized Real Estate;Other / Exotic RWAs,Revenue / fee share token (RWA protocol),Platform,Tangible,https://research.llamarisk.com/research/archive-llamarisk-risk-assessment-tangible-usdr,BTS TNFT Limited – identified in third‑party legal and risk assessments as Tangible’s legal entity; described as incorporated in the United Kingdom with an additional entity of the same name registered in the British Virgin Islands. No official company number disclosed in public docs reviewed.,x,x,x,x,x,x,x,"RWA marketplace and protocol that tokenizes physical assets such as real estate, gold and collectibles; TNGBL is the protocol/governance token and does not itself represent claim on a specific property or vault share.",x,x,x,x,x,Programmable Finance,,tangible,,,https://x.com/tangibleDAO,,
x,x,TRU,TrueFi,https://truefi.io,ethereum,ethereum,ethereum:0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,Governance & Protocol Tokens;RWA Lending / Private Credit,Governance / voting token (RWA protocol),Platform,Archblock Inc.,https://www.moneyhouse.ch/en/company/archblock-holding-ag-2003787031,"Archblock group structure: Archblock, Inc., a Delaware corporation referenced in Delaware Court of Chancery case An v. Archblock, Inc.; and Archblock (Holding) AG, a Swiss company limited by shares (Aktiengesellschaft) registered in Zug under commercial register no. CH‑170.3.049.233‑2, UID CHE‑184.684.864, noted as in liquidation in the Swiss commercial register. Archblock Inc. is cited in third‑party analyses as parent of TrueCoin LLC and the broader Archblock platform.",x,x,x,x,✓,✓,x,"On-chain credit and RWA lending protocol; TRU is the protocol’s governance/utility token and does not directly represent a specific loan or credit pool claim. | TRU is TrueFi’s protocol token used for governance, staking, and incentive alignment and is not a redeemable claim on any specific credit pool or loan.",x,x,x,x,x,Programmable Finance,Permissionless,truefi,,4eba96b1-fa95-4da8-b819-832081d4e232;596e7d21-e634-485c-9cb5-d60621f858e6;14f3d73c-4c77-44ac-829e-6e97d8f3710c;973c42a1-f16c-40d9-bd05-ca7427badb22;71ec4f7a-1f69-40e4-9825-3698c8b80fcf,https://x.com/TrueFiDAO,,
x,✓,UNTANGLED,Untangled Finance,https://untangled.finance,celo,celo; ethereum,x,RWA Lending / Private Credit,Private credit pool,Asset,Untangled Finance Limited,https://find-and-update.company-information.service.gov.uk/company/12794118,UK Companies House company number 12794118,✓,x,✓,✓,✓,x,x,"Institutional private-credit platform that tokenizes portfolios of real-world receivables into on-chain notes for investors; this row is for the core Untangled RWA protocol, not a single pool token.",x,x,x,x,x,Programmable Finance,Permissioned,,,,https://x.com/untangledfi,,
x,✓,VERIFIED,Verified Network,https://www.verified.network,ethereum,ethereum,x,"RWA Lending / Private Credit;Tokenized Funds (T-Bills, Bonds, MMFs)",Mixed RWA fund,Platform,Verified AG,https://www.verified.network/about-us,UID CHE-240.737.243 (Swiss commercial register); LEI 894500FRJIC32NU5BP94,x,x,x,x,x,x,x,"RWA infrastructure and compliance layer focused on verified identity and KYC/KYB credentials for tokenized assets and DeFi protocols, rather than a specific redeemable RWA token.",x,x,x,x,x,Programmable Finance,Permissioned,,,,https://x.com/veridefi,,
5270,✓,WORLDES,WorldEs,https://www.worldes.io,arbitrum,arbitrum,x,Tokenized Real Estate,Real estate fund / REIT token,Platform,Worldes Ltd.,https://www.worldes.io/privacy-policy,Worldes Ltd. – named in the project’s privacy policy as the legal entity (“Worldes Ltd.”) providing the Worldes website and related services; Worldes describes itself in its public materials as a US‑based company founded in 2022 focused on tokenized real estate. No company registration number or specific state of incorporation is disclosed in the sources reviewed.,x,x,x,x,x,x,x,Real-estate RWA platform that tokenizes property exposure into on-chain instruments and DeFi pools so users can allocate crypto capital into curated residential real-estate deals.,x,x,x,x,x,Non-RWA (Platform),,,,,https://x.com/WorldEsOfficial (however X-account suspended),,
x,✓,XEND,Xend Finance,https://xend.finance,bsc,bsc; ethereum; polygon,bsc:0x0f682c119e79fdd462976d74f3d2208d885534ec bsc:0x36fe11b6d5c9421f68d235694fe192b35e803903; ethereum:0x4563554284aa7148d6e6d0351519e954ba3b6e02; polygon:0x36fe11b6d5c9421f68d235694fe192b35e803903,"RWA Yield / Wrapper;Tokenized Funds (T-Bills, Bonds, MMFs)",Yield bearing RWA pool,Platform,Xend Finance,https://xend.finance,,x,x,x,x,x,x,x,DeFi savings and credit-union style protocol that also offers RWA-linked yield products tied to off-chain fixed-income or treasury exposures alongside purely crypto-native pools.,x,x,x,x,x,Programmable Finance,Permissioned,xend-finance,,,https://x.com/xendfinance,,
x,✓,ZIVOE,Zivoe,https://zivoe.com,ethereum,ethereum,ethereum:0xe412D46a0fBD567332b7689cFFfE1F8A4f19A9d2,RWA Lending / Private Credit,Private credit pool,Platform,Zivoe,https://zivoe.com,,✓,x,x,✓,✓,✓,x,"RWA private-credit protocol where users deposit stablecoins to mint yield-bearing vault tokens (such as zVLT) backed by a diversified consumer-credit portfolio, with redemptions back to stablecoins available for qualified users.",x,x,x,x,x,Real RWA,Permissionless,,,,https://x.com/zivoeprotocol,,
x,✓,ZOTH,Zoth,https://zoth.io,ethereum,ethereum,ethereum:0xbed3529fa5f69b2b5cc0e0c80d4cfd49b8c08302,"Stablecoins backed by RWAs;RWA Yield / Wrapper;Tokenized Funds (T-Bills, Bonds, MMFs)",Yield-bearing fiat stablecoin,Platform,Zoth DAO,https://zoth.io,,x,x,x,✓,x,x,x,"RWA restaking and yield platform that lets users post on-chain or tokenized off-chain assets (such as T-bills, ETFs or money-market fund tokens) as collateral to mint ZeUSD, a yield-bearing stable token used across DeFi.",x,x,x,x,x,Programmable Finance,Permissioned,,,,https://x.com/zothdotio,,
x,✓,ANEMOY,Anemoy Capital,https://anemoy.capital,ethereum,"ethereum; centrifuge, base, plume, avalanche",ethereum:0x8c213ee79581ff4984583c6a801e5263418c4b86; base:0x8c213ee79581ff4984583c6a801e5263418c4b86; plume:0xa5d465251fbcc907f5dd6bb2145488dfc6a2627b; avalanche:0xa5d465251fbcc907f5dd6bb2145488dfc6a2627b,"Tokenized Funds (T-Bills, Bonds, MMFs);RWA Lending / Private Credit",Mixed RWA fund,Asset,Anemoy Capital SPC Limited,https://www.bvifsc.vg/regulated-entities/anemoy-capital-spc-limited,"British Virgin Islands segregated portfolio company (SPC) registered as a BVI professional fund under the Securities and Investment Business Act and regulated by the BVI Financial Services Commission; LEI 2549009CBJ86SM12V633; registration authority entity ID 2130465; legal address c/o SHRM Trustees (BVI) Limited, Trinity Chambers, PO Box 4301, Road Town, VG1110, British Virgin Islands.",✓,✓,x,✓,✓,✓,x,Anemoy Capital SPC Limited issues tokenized funds such as the Janus Henderson Anemoy Treasury Fund (JTRSY) and the Anemoy Tokenized Apollo Diversified Credit Fund (ACRDX) on Centrifuge as segregated portfolios.,x,x,x,x,x,Real RWA,Permissionless,,,,,,
